id,spoiler
0,"Danny Kolzow, a 23yearold nurse at Baylor All Saints in"
1,Putting your needs before those of your colleagues is often seen as selfish behaviour But new research says
2,The big finding from Stanford economist Raj Chetty and his seven coauthors is not that rich
3,"any of numerous wasps of the family Braconidae, the larva"
4,remove any excess water from the yolks 1 Start by combining 1 cup salt and
5,John Williams
6,"turning on your bed, just randomly checking the fridge for late night munchies and scroll"
7,"Flynn the dog does a lot to help out his 17yearold human, Hai"
8,Lord Ivar Mountbatten has revealed that he is now dating a man after
9,too much too soon Brandon says Focus on the power that you're getting along
10,"I was with them The 1yearold must be changed, washed,"
11,Foursquare cofounder Dennis Crowley This Mistake Will Get You Called Out on Social Media
12,Celia Cruz
13,David De Gea
14,selfish people doing foul things are mustreads The Bottom Line 'Homesick For
15,Saudi Arabia holds roughly 117 billion of the US government’s debt
16,swine transformation
17,Sophia AlMaria
18,1 Get an education
19,Your Cat Could Become Illegal If You Live In This State Cat Claw Removal
20,Michael Sam Comes Out As Gay Missouri Football Star Could Be 1st Openly Gay NFL
21,Drunk or Danish? Swedish police eventually work it out Police in western Sweden initially thought a
22,"very affordable prices, these can be purchased online for a fraction of their retail value"
23,"The Man In The Yellow Hat from Curious George, she makes this long patent jacket look"
24,"The Polished Man Project But upon further inspection, one could learn about the reason"
25,her. Jessica Bentley Luke Skywalker Even though I'm a girl
26,"fter the funeral of Columbus, Ohio SWAT Officer Steven Smith, nine police officers who"
27,"The poll shows that the vast majority of Americans think climate change, and more frequent and severe natural"
28,Trump’s stunning win in Florida
29,"about 100 people between 1,500 and 2,000 every month to spend on whatever they please"
30,women have far more parity with their male counterparts than women do in the US
31,some seriously relentless sideeye Watch the hilarious video below to see one unamused puppy
32,Putting a gloss on your waste problem by repackaging it as a food
33,"November 11 and just pick one up Unfortunately, a glance at the Amazon page for"
34,textbooks
35,"at the gym And at the shower, he keeps them all organized in one spot And"
36,Laziness might not be a terrible trait after all
37,bats count as breakfast 1 People play bingo with chicken sht Seriously Austin is
38,ALS is a form of the motorneuron disease amyotrophic
39,YInMn blue
40,you sleep better A new study of cataract patients indicates that artificial lens implants can help improve
41,An eagleeyed Mars 'anomaly hunter' has
42,"Proof That 'Parenthood' Is The Saddest, Happiest Show"
43,"the greenhouse effect is still strong and can be deadly In fact, the greenhouse effect is still"
44,A Wood Plank That He Led On The Inside Of The Dumpster And Made A
45,Jason Aldean has found himself in unfortunate circumstances after a tour bus carrying the Dirt
46,"he was doing his job as normal when, reading The Prisoner of Azkaban"
47,"urinals to pee in And as we get closer to our imminent deaths,"
48,Russell Wilson Listens To Gospel Before Kickoff
49,"One Extra Box Of tissues Signed, A Frustrated Parent Signe"
50,Jordan Rodgers
51,"As it turns out, the first free DLC —which included 70 new events,"
52,"Mad Men earned more than 1 million viewers But by season two, those numbers spiked"
53,avoid Do YOU have high cholesterol? Here are 5 foods to eat and avoid Do YOU
54,Pennsylvania 6 percent sales tax Pennsylvania is taxing netflix spotify and apple
55,whales dyed to begin with Scientists were very concerned and deeply disturbed as to what they
56,"Among those who are 65 and older and eligible to remarry, age made"
57,Amber Galloway Gallego is not your everyday American Sign Language ASL interpreter —
58,Kili the Senegal parrot has somehow managed to become a master at playing dead
59,Miley Cyrus
60,"a sweet note to her students, saying Mrs Thom is in charge of worrying you"
61,"automatically Step 1 At first, you’ll need to use the items in normal ways Simply"
62,six seconds Or The Biggest Mistake You're Making In The Bathroom
63,Jussie Smollett
64,Hillary Clinton
65,"you can also provide someone else access to your travel informationYour phone number, frequent flyer"
66,Delaware loophole — the unassuming building at 1209 North Orange Street — has become
67,Kevin Hart
68,WAY better Amazon Prime Just Got Way Better With A Ton Of Old HBO Shows
69,Katie Holmes Rents New York City PenthouseRENTER Katie Holmes LOCATION New York
70,"still using regular glass And here’s where it gets interesting, because Apple still advertises"
71,They They has become an increasingly popular substitute for he or she They They has become an
72,"In the 90s, these were physical doors rather than virtual ones, but the concept is the"
